article_name,article_quality,country,revision_id,population
Fred Sunnen,Stub,Luxembourg,713333303,0.6
Kambamba Kulaxingo,Stub,Angola,713334490,30.4
Camille Blanc,Start,Italy,713345840,60.6
Christos Zachopoulos,Stub,Greece,713347773,10.6
G. G. Njuguna Ngengi,Start,Kenya,713351236,51
Fernando Miyares y Gonzáles,Stub,Spain,713351925,46.7
Giovanni Rinaldo Coronas,Stub,Italy,713358204,60.6
Aaron Soltz,Start,Russia,713360433,147.3
Ker Sin Tze,Start,Singapore,713373372,5.8
Marcelo Vasconcelos,Stub,Brazil,713377910,209.4
Soccoh Kabia,Stub,Sierra Leone,713391054,7.7
Septimus Kaikai,Stub,Sierra Leone,713394082,7.7
Dimitrios Patrinos,Stub,Greece,713400273,10.6
Botha Sigcau,Stub,South Africa,713404338,57.7
Winkie Direko,Stub,South Africa,713406799,57.7
Lucienne Herman-Michielsens,Start,Belgium,713418120,11.4
Shekuba Saccoh,Stub,Sierra Leone,713422660,7.7
Ambrósio Lukoki,Stub,Angola,713423251,30.4
Henri Colson,Stub,Belgium,713431172,11.4
Hla Tun,Stub,Myanmar,713439793,53.9
Herbert George-Williams,Stub,Sierra Leone,713447662,7.7
Tamba Kaingbanja,Stub,Sierra Leone,713448422,7.7
Komba Claudius Gbamanja,Stub,Sierra Leone,713448483,7.7
Komba Eric Koedoyoma,Stub,Sierra Leone,713448568,7.7
Yves-Thibault de Silguy,Stub,France,713449868,65.1
George Koukou,Stub,Liberia,713452467,4.9
Mawete João Baptista,Stub,Angola,713453404,30.4
Henrique de Carvalho Santos,Stub,Angola,713455528,30.4
Mahmoud Mestiri,Stub,Tunisia,713468262,11.6
Daniel Ntongi-Nzinga,Stub,Angola,713469695,30.4
Tamba Songu M'briwa,Start,Sierra Leone,713471097,7.7
Francesco Forgione (politician),Stub,Italy,713473671,60.6
Rui de Sá,Stub,Angola,713476015,30.4
Ernst von Plener,Start,Austria,713477345,8.8
Hindolo Trye,Stub,Sierra Leone,713479930,7.7
Momoh Gulama,Stub,Sierra Leone,713482214,7.7
Yunus Mohamed,Start,South Africa,713483588,57.7
Jaume Bosch (politician),Stub,Spain,713485074,46.7
Women in governments of Israel,Start,Israel,713489195,8.5
Juan Edmunds Rapahango,Stub,Chile,713491300,18.6
Ulrich Giezendanner,Start,Switzerland,713500223,8.5
Nazario Escoto,Stub,Nicaragua,713504371,6.3
Taing Sunlay,Stub,Cambodia,713507166,16
Bertel Dahlgaard,Stub,Denmark,713509441,5.8
Józef Rymer,Stub,Poland,713515060,38.4
Tamba Borbor-Sawyer,Stub,Sierra Leone,713515506,7.7
Kiril Yordanov,Stub,Bulgaria,713516807,7
Carlos A. Manrique,Stub,Cuba,713541399,11.1
Beshekee,Start,United States,713552630,328
Trivo Inđić,Start,Serbia,713566860,7
Biserka Jevtimijević Drinjaković,Stub,Serbia,713567412,7
Nayden Zelenogorski,Stub,Bulgaria,713577595,7
Thein Nyunt,Stub,Myanmar,713580044,53.9
Aleck Gumbo,Stub,Zimbabwe,713580662,14
Hashem Abd al-Rahman,Stub,Israel,713590049,8.5
Manuela Gretkowska,Start,Poland,713590880,38.4
Ioannis Pesmazoglou,Start,Greece,713592976,10.6
Crisologo Abines,Stub,Philippines,713595856,107
Rodolfo Plaza,Stub,Philippines,713600706,107
Reno Lim,Stub,Philippines,713600877,107
Ashot Hovhannisyan,Stub,Armenia,713602938,3
Alexander Bekzadyan,Stub,Armenia,713603939,3
Juan Bautista Gill,C,Paraguay,713607008,6.9
Carlo Oliver Diasnes,Stub,Philippines,713610729,107
Jabulani Sibanda,Start,Zimbabwe,713618917,14
César Bojórquez Zapata,Stub,Mexico,713621998,130.8
Christos Stefanopoulos,Stub,Greece,713628538,10.6
Mustapha Stambouli,Stub,Algeria,713635313,42.7
Pedro Pancho,Stub,Philippines,713647643,107
Reylina Nicolas,Stub,Philippines,713647734,107
Pieter Vreede,Start,Netherlands,713653041,17.2
Template:NorthKorea-politician-stub,Stub,"Korea, South",713655338,51.8
June Holst-Roness,Stub,Sierra Leone,713670061,7.7
Hossein Ardabili,Stub,Iran,713683090,81.6
Carl Otto von Madai,Stub,Germany,713684076,82.8
Cain Mathema,Stub,Zimbabwe,713726531,14
Alexander Gurov (politician),Stub,Russia,713738265,147.3
Patrick Kombayi,Stub,Zimbabwe,713740128,14
Jean Mattéoli,Start,France,713763293,65.1
Milan Hanzel,Stub,Slovakia,713770594,5.4
Jean-Paul-Alban Villeneuve-Barcement,Stub,France,713778758,65.1
Peter Gingold,Start,Germany,713785389,82.8
Miftah Muhammed K'eba,Stub,Libya,713800595,6.5
Pedro Romualdo,Stub,Philippines,713801467,107
Henk ten Hoeve,Stub,Netherlands,713801566,17.2
Gitau wa Njenga,Start,Kenya,713812142,51
Alfredo Navarro,Stub,Uruguay,713823313,3.5
"Nicolás de Carvajal, Marquis of Sarria",Stub,Spain,713823417,46.7
"René Waldeck-Rousseau, father",Stub,France,713829928,65.1
Isaías Carrasco,Stub,Spain,713831880,46.7
Meuccio Ruini,Stub,Italy,713841191,60.6
Umberto Zanotti Bianco,Stub,Italy,713841237,60.6
Kong Fei,Stub,China,713848156,"1,393.8"
Liu Mingzu,Stub,China,713848868,"1,393.8"
Daniel Juslenius,Start,Finland,713858369,5.5
Omar El Bahraoui,Stub,Morocco,713858784,35.2
Vladas Butėnas,Start,Lithuania,713867065,2.8
Koorosh Modaressi,Stub,Iran,713867364,81.6
Vladimír Palko,Stub,Slovakia,713870467,5.4
James Beauttah,Stub,Kenya,713871389,51
Rudolf Zajac,Stub,Slovakia,713891651,5.4
Langton Towungana,Stub,Zimbabwe,713899377,14
Benhur Salimbangon,Stub,Philippines,713905214,107
Esaias Reynier Snijman,Stub,South Africa,713912938,57.7
Joseph Allison (South African politician),Stub,South Africa,713913065,57.7
Luis Gallo Porras,Stub,Peru,713914236,32.2
José Miguel de Velasco Franco,Stub,Bolivia,713914616,11.3
Jorge Córdova,Start,Bolivia,713915698,11.3
Friedrich Kaufmann Höhne,Stub,South Africa,713916950,57.7
Siret Kotka,Stub,Estonia,713919221,1.3
Oloff Johannes Truter,Start,South Africa,713927084,57.7
Pedro de Ezcurra,Stub,Argentina,713929411,44.5
Siv Tørudbakken,Stub,Norway,713931975,5.3
David Hardt,Stub,United States,713934035,328
Peter Beckford (junior),Start,Jamaica,713936916,2.9
Eli Ayers,Stub,Liberia,713943331,4.9
Vice lantråd,Stub,Finland,713952020,5.5
Gilbert Barbier,Stub,France,713968802,65.1
Aidan Maloney,Stub,Canada,713981300,37.2
Marcelo Quiroga Santa Cruz,Start,Bolivia,713984851,11.3
Tony Biever,Stub,Luxembourg,713989559,0.6
Marius Nicoară,Stub,Romania,713994134,19.5
Christian Bergelin,Stub,France,714004051,65.1
Andriy Yaroslavovych Melnyk,Stub,Ukraine,714005192,42.3
Mykola Stsiborskyi,C,Ukraine,714009110,42.3
Vatsu Meru,Stub,India,714026654,"1,371.3"
Harry Borghouts,Stub,Netherlands,714027725,17.2
Gosse Ludigman,Stub,Netherlands,714031807,17.2
Povilas Vasiliauskas,Stub,Lithuania,714035260,2.8
Rodolfo Campo Soto,Stub,Colombia,714043181,49.8
Henry Wylie,Stub,United Kingdom,714061516,66.4
Johan Ehn,Stub,Finland,714065467,5.5
Marc Douglas Cagas IV,Stub,Philippines,714071186,107
William O'Halloran,Start,Ireland,714073774,4.9
Zhu Can,Start,China,714107332,"1,393.8"
Yuwen Shu,B,China,714107752,"1,393.8"
Horacio Jaunarena,Stub,Argentina,714112569,44.5
Rajko Kuzmanović,Stub,Bosnia-Herzegovina,714116720,3.5
Manuel Felipe Rugeles,Stub,Venezuela,714124564,31.8
Harry van Heerden,Stub,South Africa,714130697,57.7
Gao Qiang,Start,China,714145746,"1,393.8"
Vassal Gadoengin,Stub,Nauru,714152895,0.01
Daniel Fernández Crespo,Start,Uruguay,714153878,3.5
Lawrence Stephen,Stub,Nauru,714166280,0.01
Vassily Balabanov,Start,Russia,714170093,147.3
Grafton Njootli,Stub,Canada,714172218,37.2
Arturo Lezama,Stub,Uruguay,714177925,3.5
Manuel Germán Cuello,Stub,Colombia,714181986,49.8
Lucie Dejardin,Stub,Belgium,714187387,11.4
Vincent Eze Ogbulafor,Stub,Nigeria,714196192,195.9
Cristina Cremer de Busti,Stub,Argentina,714198798,44.5
Mohammad Saleh Bhutani,Stub,Pakistan,714207565,200.6
Max van Hulsteyn,Stub,South Africa,714209265,57.7
Freddie Pitcher,C,Nauru,714212271,0.01
Eduardo Cáceres,Stub,Guatemala,714212487,17.2
Clemente Marroquín,Stub,Guatemala,714212522,17.2
Henri Story,Start,Belgium,714218058,11.4
Justin Yak,Stub,South Sudan,714219098,13
Yossi Brodny,Stub,Israel,714223697,8.5
Karol Libelt,Start,Poland,714228101,38.4
Baron Franz von Pillersdorf,Start,Austria,714242549,8.8
Ludwig Freiherr von Holzgethan,Stub,Austria,714243100,8.8
Baron Max Wladimir von Beck,Stub,Austria,714243429,8.8
Carlos Robalo,Stub,Portugal,714247387,10.3
Bungan Bugti,Stub,Pakistan,714251805,200.6
Pedro Pinto Rubianes,Stub,Ecuador,714268298,17
José Dias Ferreira,Stub,Portugal,714268844,10.3
Pedro Aguayo Cubillo,Stub,Ecuador,714271561,17
Eithne Kenny,Stub,Ireland,714288880,4.9
Otto Weber (politician),Stub,Romania,714299929,19.5
Falah Hassan al-Naqib,Stub,Iraq,714301550,40.2
Jacob Sievers,Start,Russia,714302437,147.3
Guglielmo Picchi,Stub,Italy,714317479,60.6
Judy Syjuco,Stub,Philippines,714323139,107
Francisco Illingworth,Stub,Ecuador,714326133,17
Dimitar Dimitrov (writer),Stub,Macedonia,714327408,2.1
Win Shein,Stub,Myanmar,714333104,53.9
Janusz Reiter,Stub,Poland,714341609,38.4
Alexis Sarei,Stub,Papua New Guinea,714345494,8.5
Fawzi al-Ghazzi,Stub,Syria,714352602,18.3
Pedro Kumamoto,Stub,Mexico,714352867,130.8
Henri W.PH.E. van den Bergh van Eysinga,Stub,Netherlands,714357750,17.2
Lorenzo Batlle Pacheco,Stub,Uruguay,714357953,3.5
Yao Sui,Start,China,714363307,"1,393.8"
Elena Corregido,Stub,Argentina,714368298,44.5
Fabio Biancalani,Stub,Argentina,714369560,44.5
Samuel Cabanchik,Start,Argentina,714369691,44.5
Isabel Viudes,Start,Argentina,714369805,44.5
Fabián Ríos,Start,Argentina,714370441,44.5
Francisque Ravony,Stub,Madagascar,714371017,26.3
Villanueva Saravia,Stub,Uruguay,714371939,3.5
Nanci Parrilli,Stub,Argentina,714373296,44.5
Zhao Yong,Stub,China,714386764,"1,393.8"
Wang Duo (Ming dynasty),Stub,China,714387887,"1,393.8"
Eliodoro Yáñez,Start,Chile,714396381,18.6
Luis Viana,Stub,Argentina,714399793,44.5
Sieciech,Start,Poland,714404883,38.4
María José Bongiorno,Stub,Argentina,714404900,44.5
Mónica Troadello,Stub,Argentina,714407628,44.5
Marie-Adolphe Carnot,Start,France,714408836,65.1
Eduardo Torres (politician),Stub,Argentina,714409220,44.5
Florencio Durán,Stub,Chile,714414954,18.6
Luis Hierro Gambardella,Stub,Uruguay,714417567,3.5
John Michael Peacock,Start,South Africa,714417954,57.7
Apolinar Velez,Start,Philippines,714419417,107
Léonel de Moustier,Start,France,714424055,65.1
Alberto Giorgetti,Stub,Italy,714429847,60.6
Kant Kishore Bhargava,Stub,India,714430378,"1,371.3"
Vakram,Stub,Armenia,714438932,3
José Longinos Ellauri,Stub,Uruguay,714446785,3.5
Raumar Jude,Stub,Uruguay,714446880,3.5
Rexhai Surroi,Start,Kosovo,714453644,1.8
Lutfi Haziri,Start,Kosovo,714453764,1.8
Eric Matinenga,Stub,Zimbabwe,714455111,14
Horacio Lores,Start,Argentina,714460360,44.5
Delia Pinchetti de Sierra Morales,Stub,Argentina,714460442,44.5
Chen Jianguo,Stub,China,714465439,"1,393.8"
Alfredo Martínez (politician),Stub,Argentina,714468540,44.5
Julio César Grauert,Stub,Uruguay,714471459,3.5
Jiang Weixin,Stub,China,714472583,"1,393.8"
Alejandro Zorrilla de San Martín,Stub,Uruguay,714473669,3.5
Ján Mikolaj,Stub,Slovakia,714475370,5.4
Francisco Forteza,Stub,Uruguay,714478273,3.5
Tomasz Dąbal,Stub,Poland,714487480,38.4
Li Changjiang,Start,China,714488973,"1,393.8"
Francisco Forteza (son),Start,Uruguay,714493967,3.5
Jia Zhibang,Start,China,714498092,"1,393.8"
Zhang Yunchuan,Stub,China,714498339,"1,393.8"
Robert Manuel (politician),Start,Haiti,714498706,10.8
Wang Hongju,Start,China,714499438,"1,393.8"
Li Zhaozhuo,Stub,China,714501497,"1,393.8"
Francisco Oviedo,Stub,Paraguay,714506768,6.9
Carl Christian Vilhelm Liebe,Start,Denmark,714507412,5.8
Milka Tadić,Stub,Montenegro,714508050,0.6
Gustave Sap,Start,Belgium,714509812,11.4
Dul Koeun,Stub,Cambodia,714524609,16
Ly Kim Leang,Stub,Cambodia,714524624,16
Chhor Leang Huot,Stub,Cambodia,714524714,16
Thak Lany,Stub,Cambodia,714524870,16
Sok San,Stub,Cambodia,714525029,16
William Duncan Baxter,Stub,South Africa,714525045,57.7
Hans Nicolai Hansen,Start,Denmark,714525339,5.8
Tep Ngorn,Stub,Cambodia,714528164,16
Chan Cheng,Stub,Cambodia,714528251,16
Nhim Vanda,Stub,Cambodia,714528803,16
Pen Panha,Stub,Cambodia,714528886,16
Sieng Nam,Stub,Cambodia,714529109,16
So Khun,Stub,Cambodia,714529370,16
Nou Sam,Stub,Cambodia,714529507,16
Emmanuel Chiroto,Stub,Zimbabwe,714535045,14
Rafael Valentín Errázuriz,Start,Chile,714537545,18.6
Samuel Herbert Wilson,Stub,Jamaica,714543944,2.9
Fadhil Omer,Stub,Iraq,714556831,40.2
Luis Miró Quesada,Stub,Peru,714557236,32.2
Justo Páez Molina,Stub,Argentina,714560174,44.5
Tian Chengping,Start,China,714577138,"1,393.8"
Li Rongrong,Stub,China,714580991,"1,393.8"
Li Dequan,Stub,China,714584045,"1,393.8"
Pol Boël,Stub,Belgium,714589192,11.4
António Marques Mendes,Start,Portugal,714591019,10.3
Anders Gåsland,Stub,Norway,714599470,5.3
Wang Taihua,Start,China,714607588,"1,393.8"
Huang Qingyi,Start,China,714612784,"1,393.8"
Shang Fulin,Stub,China,714612880,"1,393.8"
Wang Wanbin,Stub,China,714615012,"1,393.8"
Sun Xiaoqun,Stub,China,714621341,"1,393.8"
Jean Royer,Start,France,714621526,65.1
Zhang Yutai,Start,China,714623404,"1,393.8"
Yang Chonghui,Start,China,714623871,"1,393.8"
Louis Ducatel,Stub,France,714624621,65.1
Serge Théophile Balima,Stub,Burkina Faso,714624697,20.3
Pierre Marcilhacy,Stub,France,714624725,65.1
Marcel Barbu,Stub,France,714624748,65.1
Noellie Marie Béatri Damiba,Stub,Burkina Faso,714624775,20.3
Emile Ilboudo,Stub,Burkina Faso,714624821,20.3
Tarzan Milošević,Stub,Montenegro,714625510,0.6
Cayo Miltos,Stub,Paraguay,714629346,6.9
Ángel Roberto Seifart,Stub,Paraguay,714630010,6.9
Prabhat Prakash Shukla,Stub,India,714640755,"1,371.3"
Samuel Tito Armando,Stub,Angola,714642389,30.4
Leopoldo Alfredo Bravo,Stub,Argentina,714642430,44.5
Enver Halilović,Stub,Bosnia-Herzegovina,714643019,3.5
André Ngongang Ouandji,Stub,Cameroon,714643674,25.6
Per Carlsen (diplomat),Stub,Denmark,714648680,5.8
Árpád Székely,Stub,Hungary,714648738,9.8
Lu Jianying,Stub,China,714672725,"1,393.8"
Sun Shiyi,Start,China,714675775,"1,393.8"
Zhang Shusheng,Stub,China,714676107,"1,393.8"
Tarak Mekki,Start,Tunisia,714677667,11.6
Stanimir Vukićević,Stub,Serbia,714678359,7
Boulah Ould Mogueye,Stub,Mauritania,714679821,4.5
Lahai Gbabye Lansanah,Stub,Liberia,714681006,4.9
José Goñi,Stub,Chile,714684176,18.6
Hassan Risheh,Stub,Syria,714687817,18.3
Patrick Chokala,Stub,Tanzania,714688037,59.1
Celso Jaque,Start,Argentina,714693776,44.5
John Frost (politician),Stub,South Africa,714701151,57.7
Wellington Sandoval,Stub,Ecuador,714702817,17
Habib Abou Sakr,Stub,Lebanon,714703907,6.1
Dawid Bezuidenhout,Stub,Namibia,714705477,2.5
Muchadeyi Masunda,C,Zimbabwe,714706533,14
Lentheng Helen Mekgwe,Stub,South Africa,714706859,57.7
Ke Qingshi,Stub,China,714719897,"1,393.8"
William Albert Boucher,Start,Canada,714722019,37.2
Maurice Palmade,Stub,France,714723958,65.1
Abel Gardey,Stub,France,714724078,65.1
Lorenzo Carnelli,Stub,Uruguay,714726025,3.5
Umar al-Tilmisani,Start,Egypt,714741437,97
Safa al-Safi,Start,Iraq,714747651,40.2
José Alonso (trade unionist),C,Argentina,714751234,44.5
Aimé Picquet du Boisguy,Stub,France,714757773,65.1
Claude-Augustin Tercier,Stub,France,714758326,65.1
Manuel Cepeda Vargas,Start,Colombia,714772000,49.8
Kemoh Fadika,Stub,Sierra Leone,714780593,7.7
Jacob Kielland (priest),Start,Norway,714795633,5.3
Duma Nkosi,Stub,South Africa,714801634,57.7
David Woobay,Stub,Sierra Leone,714803657,7.7
Mustafa Mashhur,Stub,Egypt,714806189,97
Armine Dew,Start,United Kingdom,714832994,66.4
Henry Beauchamp St John,Start,United Kingdom,714833084,66.4
Edmond James,Stub,United Kingdom,714833161,66.4
Geoffrey Prior,Stub,United Kingdom,714833578,66.4
Cecil Arthur Grant Savidge,Stub,United Kingdom,714833720,66.4
Sahibzada Mohammad Kursheed,Stub,Pakistan,714833977,200.6
Kirill Tomashevich,Stub,Russia,714839985,147.3
Vicente Aguilar Cubero,Stub,Costa Rica,714840469,5
Florentino Alfaro Zamora,Stub,Costa Rica,714840544,5
Apolinar de Jesús Soto Quesada,Stub,Costa Rica,714840569,5
Bernardo Rodríguez y Alfaro,Stub,Costa Rica,714840680,5
Manuel Antonio Bonilla Nava,Stub,Costa Rica,714840697,5
Roberto Brenes Mesén,Start,Costa Rica,714840777,5
Joaquín Bernardo Calvo Rosales,Stub,Costa Rica,714840837,5
Ramón Castro y Ramírez,Stub,Costa Rica,714840980,5
José Joaquín Chaverri Sievert,Stub,Costa Rica,714841020,5
Cipriano Pérez y Arias,Stub,Costa Rica,714841062,5
José Andrés Coronado Alvarado,Stub,Costa Rica,714841086,5
Domingo González Pérez,Stub,Costa Rica,714841151,5
Narciso Esquivel y Salazar,Stub,Costa Rica,714841338,5
Eusebio Figueroa Oreamuno,Stub,Costa Rica,714841426,5
Gerardo Gómez Ramírez,Stub,Costa Rica,714841526,5
Victoria Guardia Alvarado,Stub,Costa Rica,714841549,5
Joaquín de Iglesias Vidamartel,Stub,Costa Rica,714841686,5
Agapito Jiménez Zamora,Stub,Costa Rica,714841738,5
Jorge Hine Saborío,Stub,Costa Rica,714841752,5
Juan Fernando Echeverría,Stub,Costa Rica,714841815,5
Juan José de Bonilla y Herdocia,Stub,Costa Rica,714841858,5
Juan de Obregón y Espinosa,Stub,Costa Rica,714841873,5
Pedro María León-Páez y Brown,Stub,Costa Rica,714841892,5
Luis Diego Sáenz Carazo,Stub,Costa Rica,714841930,5
José María Zeledón Brenes,Stub,Costa Rica,714841955,5
Rodrigo Madrigal Nieto,Stub,Costa Rica,714841985,5
Manuel José Carazo Bonilla,Stub,Costa Rica,714842025,5
Manuel María de Peralta y López del Corral,Stub,Costa Rica,714842046,5
Manuel de Jesús Jiménez Oreamuno,Start,Costa Rica,714842063,5
Juan Rafael Mata Lafuente,Stub,Costa Rica,714842207,5
Carlos Meléndez Chaverri,Start,Costa Rica,714842220,5
José Merino del Río,Stub,Costa Rica,714842279,5
Miguel Carranza Fernández,Stub,Costa Rica,714842317,5
Felipe Francisco Molina y Bedoya,Stub,Costa Rica,714842345,5
Félix Arcadio Montero Monge,Stub,Costa Rica,714842398,5
José Joaquín Mora Porras,Stub,Costa Rica,714842448,5
Ricardo Moreno Cañas,Stub,Costa Rica,714842472,5
Rafael Moya Murillo,Stub,Costa Rica,714842487,5
José Concepción Pinto Castro,Stub,Costa Rica,714842612,5
Eusebio Prieto y Ruiz,Stub,Costa Rica,714842651,5
René Picado Michalski,Stub,Costa Rica,714842740,5
Ricardo Toledo Carranza,Stub,Costa Rica,714842754,5
Percy Rodríguez,Stub,Costa Rica,714842769,5
José Carlos Sáenz Esquivel,Stub,Costa Rica,714842852,5
Tomás Enrique Soley Soler,Stub,Costa Rica,714842948,5
Roberto Tovar Faja,Stub,Costa Rica,714842972,5
Tranquilino de Bonilla y Herdocia,Stub,Costa Rica,714842989,5
Gerardo Trejos Salas,Stub,Costa Rica,714843010,5
Juan José Ulloa Solares,Stub,Costa Rica,714843033,5
Santos Velázquez y Tinoco,Stub,Costa Rica,714843056,5
Jorge Volio Jiménez,Start,Costa Rica,714843100,5
Julián Volio Llorente,Stub,Costa Rica,714843116,5
Filip Bajković,Stub,Montenegro,714858799,0.6
Jaka Mwambi,Stub,Tanzania,714862657,59.1
João Crisóstomo de Abreu e Sousa,Stub,Portugal,714865836,10.3
Vera Grabe,Stub,Colombia,714877925,49.8
Gerardo Abad Conde,Start,Spain,714881486,46.7
Manuel Aguirre de Tejada,Stub,Spain,714881614,46.7
Elías Ahúja y Andría,Start,Spain,714881651,46.7
Luis Almarcha Hernández,Start,Spain,714881875,46.7
Saturnino Álvarez Bugallal,Stub,Spain,714882032,46.7
José María Álvarez Mendizábal,Stub,Spain,714882041,46.7
Horacio Álvarez Mesa,Stub,Spain,714882087,46.7
Antonio Flores de Lemus,Start,Spain,714882269,46.7
Antonio Aparisi Guijarro,Start,Spain,714882378,46.7
Gabriel Arias-Salgado,Stub,Spain,714882530,46.7
Luis Armiñán Pérez,Stub,Spain,714882692,46.7
Pavel Mif,Stub,Russia,714884254,147.3
Zakalia Koté,Stub,Burkina Faso,714884635,20.3
William GL Janse van Rensburg,Stub,South Africa,714885857,57.7
Anatoly Tyazhlov,Stub,Russia,714886554,147.3
Yann Richter,Stub,Switzerland,714886828,8.5
Gabes Shihepo,Start,Namibia,714887791,2.5
Alfred Vierling,Start,Netherlands,714889996,17.2
Célio de Castro,Stub,Brazil,714890716,209.4
Jean Rémy Ayouné,Stub,Gabon,714894237,2.1
Paul Malékou,Stub,Gabon,714904459,2.1
Benjamin Ngoubou,Stub,Gabon,714904545,2.1
Jean Engone,Stub,Gabon,714904832,2.1
Pierre Auguste Avaro,Stub,Gabon,714904853,2.1
Jean François Ondo,Stub,Gabon,714904933,2.1
Nasser Kara,Start,Malawi,714906746,19.1
Muhammad Hayyat Khan,Stub,Pakistan,714909610,200.6
August Lindberg,Stub,Sweden,714922473,10.2
Gunnar Andersson (trade unionist),Stub,Sweden,714922493,10.2
Gheorghe Bunea Stancu,Stub,Romania,714927351,19.5
Paul Jungbluth,Stub,Netherlands,714933347,17.2
‘Akau‘ola,Stub,Tonga,714935529,0.1
Robert Wilhelm Lagerborg,Stub,Finland,714936944,5.5
Jirhangga,Start,China,714965143,"1,393.8"
David Butau,Stub,Zimbabwe,714967769,14
Ivan Fernald,Stub,Suriname,714971743,0.6
Moses Musa Sesay,Stub,Sierra Leone,714971801,7.7
Hélder Vieira Dias,Stub,Angola,714975430,30.4
Roberto Leal Monteiro,Stub,Angola,714976517,30.4
Luis Favre,Stub,Argentina,714977875,44.5
Abdi Mohamed Ulusso,Stub,Somalia,714979175,15.2
Hussein Hagi Bood,Stub,Somalia,714979437,15.2
Kazimierz Narutowicz,Stub,Lithuania,714982222,2.8
Jean-Henry-Louis Greffulhe,Stub,France,714984170,65.1
Henry of Marle (died 1418),Stub,France,714988914,65.1
Rashid Kadyrov,Stub,Uzbekistan,714992592,32.9
Pedro Dartnell,Start,Chile,714993177,18.6
Francesco Coppola,Start,Italy,714996923,60.6
Luis Fernández de Córdoba y Arce,Start,Chile,715000905,18.6
Katja Boh,Start,Slovenia,715002768,2.1
Ștefan Andrei,Start,Romania,715010012,19.5
Nikolai Kamov,Stub,Bulgaria,715015120,7
Khalid Shahanshah,Stub,Pakistan,715016644,200.6
Manuel Flores Mora,Start,Uruguay,715021506,3.5
Vladimir Rakhmanin,Start,Russia,715025136,147.3
Constantino Jaraula,Stub,Philippines,715031563,107
Themistokles Dudu Murorua,Stub,Namibia,715035025,2.5
James Chan Khay Syn,Stub,Malaysia,715035912,32.5
Johan van der Burg,Stub,Netherlands,715041819,17.2
Mukunda Neupane,Stub,Nepal,715042514,29.7
Bashkim Dedja,Stub,Albania,715045524,2.9
Robert Draba,Stub,Poland,715045980,38.4
Julio Herrera y Obes,Start,Uruguay,715051661,3.5
Marvin Gelber,Stub,Canada,715055224,37.2
Telesforo Castillejos,Stub,Philippines,715061225,107
Fu Zhihuan,Stub,China,715063866,"1,393.8"
Bruno Hunziker,Start,Switzerland,715067469,8.5
Jeremy Colman,Start,United Kingdom,715075786,66.4
Rudolf Leonhard,Start,Germany,715079454,82.8
Jan Teichmann,Stub,Belgium,715090949,11.4
Fredegand Cogels,Stub,Belgium,715092220,11.4
Rufino Bauzá,Stub,Uruguay,715100683,3.5
Shi Guangsheng,Stub,China,715102598,"1,393.8"
Friedrich Gustav Carl Ulrich Franz von Schnehen,Stub,Germany,715106494,82.8
Lope de Ulloa y Lemos,Stub,Spain,715115501,46.7
Fodé Bangoura,Stub,Guinea,715120193,11.9
Thompson Samkange,Stub,Zimbabwe,715131189,14
Oupa Monareng,Stub,South Africa,715134345,57.7
Eduardo Vasconcelos,Stub,Mexico,715134842,130.8
Álvaro García Rodríguez,Stub,Uruguay,715150635,3.5
Máximo Tajes,Start,Uruguay,715152580,3.5
Georges Thiébaud,Stub,France,715154862,65.1
Curt Franz Wenzel Christoph Erdmann Graf Zedtwitz von Moraván und Duppau,Stub,Austria,715162258,8.8
Rafael Yamashiro,Stub,Peru,715164237,32.2
Víctor García Toma,Start,Peru,715164347,32.2
Mário José Carvalho de Lima,Stub,Cape Verde,715164874,0.6
Meryce Mussa Emmanuel,Stub,Tanzania,715165020,59.1
Mohammad Sewar,Stub,Yemen,715165771,28.9
Badreddine Missaoui,Stub,Tunisia,715165937,11.6
Jan Grauls,Start,Belgium,715166348,11.4
Rodolphe Prager,Start,France,715167104,65.1
Johannes Nakwafila,Stub,Namibia,715168821,2.5
Yaneth Cajahuanca,Stub,Peru,715171678,32.2
Sayed Abdul Karim Hashimi,Stub,Afghanistan,715179680,36.5
Nomalanga Khumalo,Stub,Zimbabwe,715183334,14
Daniel Martínez (politician),Stub,Uruguay,715192489,3.5
Jabu Moleketi,Stub,South Africa,715192750,57.7
Kaire Mbuende,Stub,Namibia,715193056,2.5
Yousry Saber Hussein El-Gamal,Stub,Egypt,715206646,97
Tilo Frey,Stub,Switzerland,715221232,8.5
Riya Qahtan,Stub,Iraq,715231246,40.2
Kraai van Niekerk,Start,South Africa,715242156,57.7
Albin Chalandon,Stub,France,715248131,65.1
Olivier Guichard,Start,France,715248161,65.1
René Haby,Stub,France,715248222,65.1
Nerio Giovanazzi,Stub,Italy,715255368,60.6
Carsten Staur,Start,Denmark,715273155,5.8
Tomas Polus,Stub,Sweden,715295027,10.2
Themba Godi,Start,South Africa,715312773,57.7
Karl Chircop,Start,Malta,715326916,0.5
Victor Crespo,Start,Portugal,715330133,10.3
Fernando Amaral,Stub,Portugal,715330269,10.3
Ivan Cesar,Stub,Croatia,715335571,4.1
Ahmet Hadžipašić,Stub,Bosnia-Herzegovina,715338939,3.5
Mohammed Aftab Aalam,Stub,Nepal,715340094,29.7
Tsola Dragoycheva,C,Bulgaria,715344782,7
Francis Benjamin Kates,Stub,Australia,715357666,24.1
Robert Robertson (politician),Stub,Canada,715359989,37.2
